,Name,Price €,Kilometer,Gear Type,First Registration,Gas Type,Power,Energy Efficiency,Environment Index,CO2,Registration Year,Powerhorse
0,"BMW 320 Baureihe 3 Lim. 320 i Advantage,Sitzhzg.Navi",24999.0,53500.0,Automatik,09/2019,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2019,184
1,BMW 320 320i Gran Turismo Sport Line*Automatik*LED*Navi,23890.0,45383.0,Automatik,05/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
2,BMW 320 i Advantage LED NAVI KAMERA BUSINESS-PAKET,25900.0,25000.0,Automatik,09/2019,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2019,184
3,BMW 320 i Aut. M Sport,29890.0,65900.0,Automatik,06/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
4,BMW 320 i M Sport*Glasdach*ACC*Kamera*AHK*HiFi*,33980.0,54272.0,Automatik,04/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
5,BMW 320 iA Lim. M Sportpaket HiFi Laser GSD Kamera DAB,33940.0,42737.0,Automatik,05/2021,Benzin,135 kW (184 PS),"6,5 l/100 km (komb.)",147 g/km (komb.),CO₂-Klasse E (komb.),2021,184
6,BMW 320 i M Sport Kamera Laser HUD DAB HiFi Komfort,27500.0,76846.0,Automatik,02/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
7,"BMW 320 i M Sport 19"" Laser AHK HUD SHZ PA+ NAVI DAB",36790.0,40963.0,Automatik,01/2022,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2022,184
8,BMW 320 iA Lim. M Sportpaket DrivingAssist Standheiz,32430.0,45415.0,Automatik,05/2021,Benzin,135 kW (184 PS),"6,4 l/100 km (komb.)",146 g/km (komb.),CO₂-Klasse E (komb.),2021,184
9,BMW 320 i Touring M Sport RFK ACC HiFi QI adptLED HuD,32980.0,35100.0,Automatik,07/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
10,BMW 320 i Lim. Aut. M Sport +LED+Navi+AHK+Kamera+DAB,37790.0,10500.0,Automatik,09/2024,Benzin,135 kW (184 PS),"7,3 l/100 km (komb.)",165 g/km (komb.),CO₂-Klasse F (komb.),2024,184
11,BMW 320 320 i Advantage  Sportsitze VollLeder  RKamera,27990.0,33700.0,Automatik,08/2021,Benzin,135 kW (184 PS),"6,1 l/100 km (komb.)",140 g/km (komb.),,2021,184
12,BMW 320 i M Sport*ACC*HIFI*R-KAMERA*SHZ*18 ZOLL*DAB+*,37880.0,6000.0,Automatik,06/2024,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2024,184
13,BMW 320 i Limousine M Sport*Keyless*DAB*HiFi*ACC*,38790.0,39490.0,Automatik,11/2023,Benzin,135 kW (184 PS),"7,2 l/100 km (komb.)",162 g/km (komb.),CO₂-Klasse F (komb.),2023,184
14,BMW 320 i Automatik Aut. Klimaaut. PDC Aut. Heckkl.,27690.0,50296.0,Automatik,11/2021,Benzin,135 kW (184 PS),"6,3 l/100 km (komb.)",142 g/km (komb.),CO₂-Klasse E (komb.),2021,184
15,BMW 320 i Tour M Sportpaket ACC Profess.HIFI°LED°18,34850.0,23240.0,Automatik,04/2023,Benzin,135 kW (184 PS),- (l/100 km),152 g/km (komb.),,2023,184
16,BMW 320 i M Sport*Glasdach*ACC*Kamera*AHK*HiFi*,33980.0,54272.0,Automatik,04/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
17,BMW 320 i Tour M Sportpaket ACC Profess.HIFI°LED°18,34850.0,23240.0,Automatik,04/2023,Benzin,135 kW (184 PS),- (l/100 km),152 g/km (komb.),,2023,184
18,BMW 320 i Touring Steptronic Sport Line+LED+NAVI,30950.0,85020.0,Automatik,10/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
19,BMW 320 320i Gran Turismo Sport Line*Automatik*LED*Navi,23890.0,45383.0,Automatik,05/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
20,BMW 320 i DAB PDC LED Geschwindigkeitsreg.Individual,28999.0,24230.0,Automatik,08/2021,Benzin,135 kW (184 PS),- (l/100 km),151 g/km (komb.),CO₂-Klasse A (komb.),2021,184
21,BMW 320 i Limousine SH PA LMR HiFi,30790.0,74074.0,Automatik,07/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
22,BMW 320 i Tour M Sport GSD RFK KoZg aLED HiFi LiCoPro,37980.0,19990.0,Automatik,06/2023,Benzin,135 kW (184 PS),"6,8 l/100 km (komb.)",153 g/km (komb.),CO₂-Klasse E (komb.),2023,184
23,BMW 320 i Tour M Sport GSD RFK KoZg aLED HiFi LiCoPro,38999.0,13990.0,Automatik,03/2023,Benzin,135 kW (184 PS),"6,8 l/100 km (komb.)",153 g/km (komb.),CO₂-Klasse E (komb.),2023,184
24,BMW 320 i Touring Aut.,39990.0,26923.0,Automatik,12/2022,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2022,184
25,BMW 320 i M Sport+LED+ACC+Kamera+3-Zonen+SZH+Navi+APP+,39999.0,4980.0,Automatik,02/2023,Benzin,135 kW (184 PS),"6,4 l/100 km (komb.)",145 g/km (komb.),CO₂-Klasse E (komb.),2023,184
26,BMW 320 i Limousine HiFi Harman Kardon Komfortzg.,35700.0,2850.0,Automatik,11/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
27,BMW 320 i M Sport HUD/ACC/LEDER/SHADOW LINE,36900.0,28100.0,Automatik,05/2023,Benzin,135 kW (184 PS),"7,2 l/100 km (komb.)",159 g/km (komb.),,2023,184
28,BMW 320 i M Sport SD°ACC°AHK°Ad.LED°HIFI°Rfcam°el.Si,38900.0,26120.0,Automatik,11/2023,Benzin,135 kW (184 PS),"6,9 l/100 km (komb.)",155 g/km (komb.),,2023,184
29,BMW 320 i Tour M Sportpaket AHK°ACC*el.Sitz+M*Rfcam.,39400.0,17480.0,Automatik,01/2024,Benzin,135 kW (184 PS),"7,1 l/100 km (komb.)",160 g/km (komb.),,2024,184
30,BMW 320 i Tour M Sportpaket Ad.LED°ACC°el.Sitze+Mem.,35500.0,27860.0,Automatik,08/2023,Benzin,135 kW (184 PS),"7,1 l/100 km (komb.)",160 g/km (komb.),,2023,184
31,BMW 320 i M Sport Laser ACC Memory HiFi,35591.0,24500.0,Automatik,06/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
32,BMW 320 i Touring M Sport AHK HiFi PA DA ALED,37890.0,24591.0,Automatik,05/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
33,BMW 320 i Touring Aut. Advantage,27890.0,69527.0,Automatik,03/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
34,BMW 320 i Limousine AHK LED Navi Hifi,28850.0,53389.0,Automatik,01/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
35,BMW 320 i MSport/Pano/AHK/NAV/UPE 66000€/+5J.Garantie,42900.0,1625.0,Automatik,04/2024,Benzin,135 kW (184 PS),"6,9 l/100 km (komb.)",155 g/km (komb.),CO₂-Klasse E (komb.),2024,184
36,BMW 320 i Steptronic Touring LED Navi SHZ TEMP,29950.0,36313.0,Automatik,05/2022,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2022,184
37,"BMW 320 i Touring Sport Line 17""LMR+AT+KFZ+AHK+SPORTSITZ+S",31490.0,51900.0,Automatik,10/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
38,BMW 320 i Advantage DAB LED WLAN Tempomat Klimaaut.,26990.0,54820.0,Automatik,10/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
39,BMW 320 i Advantage LED NAVI KAMERA BUSINESS-PAKET,25900.0,25000.0,Automatik,09/2019,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2019,184
40,BMW 320 i Limousine Navi digitales Cockpit LED Klimaautom,25880.0,57899.0,Automatik,06/2019,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2019,184
41,BMW 320 i Limousine M-Sport AHK MEMORY KAMERA SZH,37480.0,25280.0,Automatik,01/2024,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2024,184
42,BMW 320 i Limousine Luxury Line Head-Up HiFi DAB Shz,32280.0,44021.0,Automatik,08/2019,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2019,184
43,BMW 320 i Touring DAB LED Tempomat Klimaaut. PDC,31280.0,80096.0,Automatik,03/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
44,BMW 320 i Limousine*M-Sport*HiFi*RFK*LED*Tempomat*DAB*,36850.0,25984.0,Automatik,11/2021,Benzin,135 kW (184 PS),"7,2 l/100 km (komb.)",163 g/km (komb.),CO₂-Klasse F (komb.),2021,184
45,"BMW 320 iA Lim CockpProf Navi Leder LED 18"" Sportsitz",28999.0,29200.0,Automatik,07/2021,Benzin,135 kW (184 PS),"5,7 l/100 km (komb.)",143 g/km (komb.),,2021,184
46,"BMW 320 320 i Sport Line,LED,SHZ,PDC,DAB,8xALU",27900.0,77500.0,Automatik,04/2020,Benzin,135 kW (184 PS),"5,7 l/100 km (komb.)",130 g/km (komb.),,2020,184
47,BMW 320 iA Touring M-Sport LED PDC SHZ TEMP HEAD-UP,30960.0,61700.0,- Getriebe,12/2020,Benzin,135 kW (184 PS),"5,7 l/100 km (komb.)",130 g/km (komb.),,2020,184
48,BMW 320 318i Lim. *Schiebedach*Leder*Harman/Kardon*HUD*,36999.0,9921.0,Automatik,11/2023,Benzin,115 kW (156 PS),- (l/100 km),- (g/km),,2023,156
49,BMW 320 i MPaket LivePR Leder Hifi Park GSHD LED 1Hd,33499.0,35200.0,Automatik,11/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
50,BMW 320 320i Touring Aut. Sport Line,29900.0,59800.0,Automatik,04/2021,Benzin,135 kW (184 PS),"7,5 l/100 km (komb.)",170 g/km (komb.),,2021,184
51,BMW 320 i M Sport*LED*H&K*HUD*DAB*LED adaptive,42240.0,11729.0,Automatik,11/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
52,BMW 320 i Lim. xDrive*Schiebedach*HUD*AHK*LED adapt,42440.0,7500.0,Automatik,01/2024,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2024,184
53,"BMW 320 i Touring""M-Sport""Pano+AHK+HUD+Kamera+ACC",39222.0,24650.0,Automatik,08/2023,Benzin,135 kW (184 PS),"7,1 l/100 km (komb.)",161 g/km (komb.),,2023,184
54,"BMW 320 i Touring""M-Sport""Pano+AHK+HUD+Kamera+ACC",39444.0,27300.0,Automatik,07/2023,Benzin,135 kW (184 PS),"7,1 l/100 km (komb.)",161 g/km (komb.),CO₂-Klasse F (komb.),2023,184
55,"BMW 320 i Touring""M-Sport""Pano+AHK+HUD+Kamera+ACC",39222.0,24650.0,Automatik,08/2023,Benzin,135 kW (184 PS),"7,1 l/100 km (komb.)",161 g/km (komb.),,2023,184
56,BMW 320 Sport Line LED,21490.0,46918.0,Automatik,01/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
57,BMW 320 i Touring Aut. Sport Line,31500.0,44038.0,Automatik,12/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
58,BMW 320 i M-Sportpaket*LED*VIRTUAL*1.HAND,28990.0,81406.0,Automatik,10/2019,Benzin,135 kW (184 PS),"5,5 l/100 km (komb.)",126 g/km (komb.),,2019,184
59,BMW 320 i M Sport*Glasdach*ACC*Kamera*AHK*HiFi*,33980.0,54272.0,Automatik,04/2023,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2023,184
60,"BMW 320 iA T M SPORT LivePr,Laser,HUD,Leder,St+G,Kam",28450.0,60000.0,Automatik,12/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
61,"BMW 320 iA Sport LivePro,LED,Glasdach,St+Go,Kam,Hifi",27450.0,98595.0,Automatik,03/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
62,BMW 320 i Sport Line ACC Laser Head-up Leder Kamera,25800.0,52325.0,Automatik,12/2020,Benzin,135 kW (184 PS),"5,3 l/100 km (komb.)",120 g/km (komb.),,2020,184
63,BMW 320 320i GT Aut. Advantage Navi HuD SHZ,21190.0,63786.0,Automatik,07/2020,Benzin,135 kW (184 PS),"6,2 l/100 km (komb.)",141 g/km (komb.),,2020,184
64,BMW 320 i Sport Line Aut HUD LASER LIVE HiFi PARK TEM,27999.0,56500.0,Automatik,11/2020,Benzin,135 kW (184 PS),"5,3 l/100 km (komb.)",120 g/km (komb.),,2020,184
65,BMW 320 320 i M Sport,26000.0,60000.0,- Getriebe,12/2019,Benzin,135 kW (184 PS),"5,7 l/100 km (komb.)",130 g/km (komb.),,2019,184
66,BMW 320 i Advantage*Navi*LED*PDC*Winter*SHZ*19 Zoll*,25980.0,37980.0,Automatik,07/2019,Benzin,135 kW (184 PS),"5,5 l/100 km (komb.)",126 g/km (komb.),,2019,184
67,BMW 320 i Tour. Aut. Advan LED/NAVI+/SHZ/VIRTU/AHK/8F,25250.0,63300.0,Automatik,03/2021,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2021,184
68,BMW 320 i M Sport Aut/LASER/HEAD-UP/KAMERA/AHK/LIVE-C,27900.0,98000.0,Automatik,12/2019,Benzin,135 kW (184 PS),- (l/100 km),146 g/km (komb.),CO₂-Klasse A (komb.),2019,184
69,BMW 320 i M-Sportpaket PDC SHZ NAVI W-LAN LED,30290.0,84507.0,Automatik,01/2022,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2022,184
70,BMW 320 320i+Touring+Aut.+Edition+M+Sport+Shadow,23800.0,53000.0,Automatik,05/2019,Benzin,135 kW (184 PS),"6,1 l/100 km (komb.)",- (g/km),,2019,184
71,BMW 320 320i+Touring+Aut.+M+Sport - 14 M GARANTIE,31299.0,38000.0,Automatik,10/2020,Benzin,135 kW (184 PS),"5,7 l/100 km (komb.)",- (g/km),,2020,184
72,BMW 320 i Automatik OPF,22900.0,92981.0,Automatik,06/2020,Benzin,135 kW (184 PS),- (l/100 km),142 g/km (komb.),,2020,184
73,BMW 320 320i Aut. Advantage - Unfallfrei - Navi - PDC,28499.0,35580.0,Automatik,04/2021,Benzin,135 kW (184 PS),"5,4 l/100 km (komb.)",- (g/km),,2021,184
74,BMW 320 i*LCProf*HUD*LEDER*KAMERA*AHK*LED,28498.0,52286.0,Automatik,09/2021,Benzin,135 kW (184 PS),"5,3 l/100 km (komb.)",120 g/km (komb.),,2021,184
75,BMW 320 i T M Sport LASER*HUD*Kamera*AHK*E.Sitz*LEDER,28900.0,71500.0,Automatik,07/2020,Benzin,135 kW (184 PS),"6,1 l/100 km (komb.)",138 g/km (komb.),,2020,184
76,BMW 320 3 Touring 320 i Sport Line*Autom.*Navi*Panorama*,24999.0,55000.0,Automatik,05/2020,Benzin,135 kW (184 PS),"5,8 l/100 km (komb.)",133 g/km (komb.),,2020,184
77,BMW 320 i Sport Line S-Dach SpoSi Lane RKam LED AUT,26990.0,35298.0,Automatik,12/2019,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2019,184
78,BMW 320 3er 320i Aut. Advantage Limou. Navi - Tempomat PDC,27399.0,35583.0,Automatik,04/2021,Benzin,135 kW (184 PS),"5,3 l/100 km (komb.)",- (g/km),,2021,184
79,BMW 320 iA Lim. M Sportpaket HiFi Laser GSD Kamera DAB,33940.0,42737.0,Automatik,05/2021,Benzin,135 kW (184 PS),"6,5 l/100 km (komb.)",147 g/km (komb.),CO₂-Klasse E (komb.),2021,184
80,BMW 320 i Sport Line Aut. / 2Jahre-BPS.GARANTIE,28490.0,53002.0,Automatik,10/2021,Benzin,135 kW (184 PS),"6,4 l/100 km (komb.)",146 g/km (komb.),CO₂-Klasse E (komb.),2021,184
81,BMW 320 i Limousine*HeadUp*Laser*Drive Assist*Komfortzugan,27990.0,34284.0,Automatik,07/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
82,"BMW 320 i M-Paket,LED-SW,Navigation,HiFi,Sitzheizung,",29950.0,63785.0,Automatik,12/2020,Benzin,135 kW (184 PS),"6,6 l/100 km (komb.)",151 g/km (komb.),CO₂-Klasse E (komb.),2020,184
83,BMW 320 320i Aut.,23500.0,41000.0,Automatik,05/2019,Benzin,135 kW (184 PS),"5,3 l/100 km (komb.)",- (g/km),,2019,184
84,BMW 320 i xDrive Luxury Line Head-Up LED Pano.Dach,23911.0,84750.0,Automatik,06/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
85,BMW 320 i Limousine HiFi SHZ PDC LED,27970.0,63194.0,Automatik,09/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
86,BMW 320 i M Sport AHK/LASER/HEADUP/KOMFORTZUG/MEMORY,32499.0,50000.0,Automatik,08/2020,Benzin,135 kW (184 PS),"5,3 l/100 km (komb.)",120 g/km (komb.),,2020,184
87,BMW 320 i A xDrive Sport-Line StdHzg AHK HUD ACC,30899.0,41318.0,Automatik,05/2021,Benzin,135 kW (184 PS),"6,9 l/100 km (komb.)",156 g/km (komb.),CO₂-Klasse F (komb.),2021,184
88,BMW 320 320i Touring Navi LED LC+ Panorama Shz,23480.0,78511.0,Automatik,10/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
89,BMW 320 320i Tour.Sport LED Sportsitze Har./Kard.PDC 17“,19990.0,91000.0,Schaltgetriebe,01/2019,Benzin,135 kW (184 PS),"6,6 l/100 km (komb.)",151 g/km (komb.),,2019,184
90,BMW 320 i Touring Sport Line 1H HUD LEDER LED H&K DAB,26999.0,79889.0,Automatik,03/2020,Benzin,135 kW (184 PS),"5,7 l/100 km (komb.)",130 g/km (komb.),,2020,184
91,BMW 320 i M Sport Kamera Laser HUD DAB HiFi Komfort,27500.0,76846.0,Automatik,02/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
92,BMW 320 i Touring Sport Line Komfortzg. Tempomat Shz,25890.0,54197.0,Automatik,01/2020,Benzin,135 kW (184 PS),- (l/100 km),- (g/km),,2020,184
